time,leftArm_upperArmRotation_x,leftArm_upperArmRotation_y,leftArm_upperArmRotation_z,leftArm_lowerArmRotation_x,leftArm_lowerArmRotation_y,leftArm_lowerArmRotation_z,leftArm_handRotation_x,leftArm_handRotation_y,leftArm_handRotation_z,rightArm_upperArmRotation_x,rightArm_upperArmRotation_y,rightArm_upperArmRotation_z,rightArm_lowerArmRotation_x,rightArm_lowerArmRotation_y,rightArm_lowerArmRotation_z,rightArm_handRotation_x,rightArm_handRotation_y,rightArm_handRotation_z
1.190682,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.198275,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.205267,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.209193,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.21577,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.222857,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.229391,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.236388,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.242973,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.250018,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.257032,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.264233,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.271442,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.275122,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.281533,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.288061,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.295136,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.302288,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.308838,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.315356,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.322437,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.330014,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.337025,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.344278,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.351941,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.358371,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.365073,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
